visual_name,property_category,property_name,property_description,property_values
hundredPercentStackedColumnChart,labels,optimizeLabelDisplay,Optimize label display,Expected type: boolean
hundredPercentStackedColumnChart,labels,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,labels,showAll,Customize series,Expected type: boolean
hundredPercentStackedColumnChart,labels,showBlankAs,Show blank as,Expected type: string
hundredPercentStackedColumnChart,labels,showByDefault,Color,Expected type: boolean
hundredPercentStackedColumnChart,labels,showDynamicLabels,Custom label,Expected type: boolean
hundredPercentStackedColumnChart,labels,showSeries,Show,Expected type: boolean
hundredPercentStackedColumnChart,labels,titleBold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,labels,titleColor,Color,Expected type: color
hundredPercentStackedColumnChart,labels,titleContentType,Content,"Series name, Custom"
hundredPercentStackedColumnChart,labels,titleCustomFormatString,Format code,Expected type: string
hundredPercentStackedColumnChart,labels,titleFontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,labels,titleFontSize,Color,Expected type: number
hundredPercentStackedColumnChart,labels,titleItalic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,labels,titleLabelDisplayUnits,Display units,"0, 1, 1000, 1000000, 1000000000, 1000000000000, -1"
hundredPercentStackedColumnChart,labels,titleLabelPrecision,Value decimal places,Expected type: integer
hundredPercentStackedColumnChart,labels,titleShowBlankAs,Show blank as,Expected type: string
hundredPercentStackedColumnChart,labels,titleTransparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,labels,titleUnderline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,labels,transparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,labels,underline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,labels,valueCustomFormatString,Format code,Expected type: string
hundredPercentStackedColumnChart,labels,wordWrap,Word wrap,Expected type: boolean
hundredPercentStackedColumnChart,layout,ribbonGapSize,Space between ribbons and columns,Expected type: number
hundredPercentStackedColumnChart,layout,seriesOrderReversed,Reverse order,Expected type: boolean
hundredPercentStackedColumnChart,layout,seriesOrderSorted,Sort by value,Expected type: boolean
hundredPercentStackedColumnChart,layout,stackedGapExplodes,Series explosion,Expected type: boolean
hundredPercentStackedColumnChart,layout,stackedGapSize,Space between series,Expected type: number
hundredPercentStackedColumnChart,legend,bold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,legend,fontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,legend,fontSize,Color,Expected type: number
hundredPercentStackedColumnChart,legend,italic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,legend,labelColor,Color,Expected type: color
hundredPercentStackedColumnChart,legend,position,Position,"Top, TopCenter, TopRight, Left, Right, LeftCenter, RightCenter, Bottom, BottomCenter, BottomRight"
hundredPercentStackedColumnChart,legend,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,legend,showGradientLegend,Show,Expected type: boolean
hundredPercentStackedColumnChart,legend,showTitle,Title,Expected type: boolean
hundredPercentStackedColumnChart,legend,titleText,Legend Name,Expected type: string
hundredPercentStackedColumnChart,legend,underline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,plotArea,image,Color,Expected type: object
hundredPercentStackedColumnChart,plotArea,image.name,Color,Expected type: string
hundredPercentStackedColumnChart,plotArea,image.url,Color,Expected type: string
hundredPercentStackedColumnChart,plotArea,image.scaling,Color,"Normal, Fit, Fill"
hundredPercentStackedColumnChart,plotArea,transparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,ribbonBands,borderColor,Color,Expected type: color
hundredPercentStackedColumnChart,ribbonBands,borderColorMatchFill,Match fill color,Expected type: boolean
hundredPercentStackedColumnChart,ribbonBands,borderShow,Border,Expected type: boolean
hundredPercentStackedColumnChart,ribbonBands,borderSize,Width,Expected type: number
hundredPercentStackedColumnChart,ribbonBands,borderTransparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,ribbonBands,fillColor,Color,Expected type: color
hundredPercentStackedColumnChart,ribbonBands,fillMatchColor,Match series color,Expected type: boolean
hundredPercentStackedColumnChart,ribbonBands,fillTransparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,ribbonBands,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,smallMultiplesLayout,advancedPaddingOptions,Advanced padding options,Expected type: boolean
hundredPercentStackedColumnChart,smallMultiplesLayout,backgroundColor,Color,Expected type: color
hundredPercentStackedColumnChart,smallMultiplesLayout,backgroundTransparency,Background transparency,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,columnCount,Columns,Expected type: integer
hundredPercentStackedColumnChart,smallMultiplesLayout,columnPaddingInner,Inner column padding,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,columnPaddingOuter,Outer column padding,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineColor,Color,Expected type: color
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineShow,Show,Expected type: boolean
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineStyle,Line style,"solid, dashed, dotted"
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineTransparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineType,Gridlines,"all, inner, innerHorizontal, innerVertical"
hundredPercentStackedColumnChart,smallMultiplesLayout,gridLineWidth,Width,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,gridPadding,Grid padding,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,layoutType,Grid layout,"auto, custom"
hundredPercentStackedColumnChart,smallMultiplesLayout,rowCount,Rows,Expected type: integer
hundredPercentStackedColumnChart,smallMultiplesLayout,rowPaddingInner,Inner row padding,Expected type: number
hundredPercentStackedColumnChart,smallMultiplesLayout,rowPaddingOuter,Outer row padding,Expected type: number
hundredPercentStackedColumnChart,subheader,alignment,Color,"left, center, right"
hundredPercentStackedColumnChart,subheader,bold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,subheader,fontColor,Color,Expected type: color
hundredPercentStackedColumnChart,subheader,fontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,subheader,fontSize,Color,Expected type: number
hundredPercentStackedColumnChart,subheader,italic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,subheader,position,Position,"top, bottom"
hundredPercentStackedColumnChart,subheader,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,subheader,titleWrap,Word wrap,Expected type: boolean
hundredPercentStackedColumnChart,subheader,underline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,totals,backgroundColor,Color,Expected type: color
hundredPercentStackedColumnChart,totals,backgroundTransparency,Transparency,Expected type: integer
hundredPercentStackedColumnChart,totals,bold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,totals,color,Color,Expected type: color
hundredPercentStackedColumnChart,totals,enableBackground,Show background,Expected type: boolean
hundredPercentStackedColumnChart,totals,fontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,totals,fontSize,Color,Expected type: number
hundredPercentStackedColumnChart,totals,italic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,totals,labelDisplayUnits,Color,"0, 1, 1000, 1000000, 1000000000, 1000000000000"
hundredPercentStackedColumnChart,totals,labelPrecision,Value decimal places,Expected type: integer
hundredPercentStackedColumnChart,totals,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,totals,showPositiveAndNegative,Split positive and negative,Expected type: boolean
hundredPercentStackedColumnChart,totals,underline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,trend,autoScale,Scale by width,Expected type: boolean
hundredPercentStackedColumnChart,trend,combineSeries,Combine series,Expected type: boolean
hundredPercentStackedColumnChart,trend,dashArray,Dash array,Expected type: string
hundredPercentStackedColumnChart,trend,dashCap,Dash cap,"none, round, square"
hundredPercentStackedColumnChart,trend,displayName,Name,Expected type: string
hundredPercentStackedColumnChart,trend,lineColor,Color,Expected type: color
hundredPercentStackedColumnChart,trend,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,trend,style,Line style,"solid, dashed, dotted, custom"
hundredPercentStackedColumnChart,trend,transparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,trend,useHighlightValues,Use highlight values,Expected type: boolean
hundredPercentStackedColumnChart,trend,width,Width,Expected type: number
hundredPercentStackedColumnChart,valueAxis,axisStyle,Style,"showTitleOnly, showUnitOnly, showBoth"
hundredPercentStackedColumnChart,valueAxis,bold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,end,End,"Expected type: number, string"
hundredPercentStackedColumnChart,valueAxis,fontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,valueAxis,fontSize,Color,Expected type: number
hundredPercentStackedColumnChart,valueAxis,gridlineAutoScale,Scale by width,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,gridlineColor,Color,Expected type: color
hundredPercentStackedColumnChart,valueAxis,gridlineDashArray,Dash array,Expected type: string
hundredPercentStackedColumnChart,valueAxis,gridlineDashCap,Dash cap,"none, round, square"
hundredPercentStackedColumnChart,valueAxis,gridlineShow,Show,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,gridlineStyle,Line style,"solid, dashed, dotted, custom"
hundredPercentStackedColumnChart,valueAxis,gridlineThickness,Width,Expected type: number
hundredPercentStackedColumnChart,valueAxis,gridlineTransparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,valueAxis,invertAxis,Invert axis,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,italic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,labelColor,Color,Expected type: color
hundredPercentStackedColumnChart,valueAxis,labelDisplayUnits,Color,"0, 1, 1000, 1000000, 1000000000, 1000000000000"
hundredPercentStackedColumnChart,valueAxis,labelPrecision,Value decimal places,Expected type: integer
hundredPercentStackedColumnChart,valueAxis,logAxisScale,Logarithmic scale,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,scaleToFit,Scale to fit,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,sharedAxis,Shared y-axis,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,showAxisTitle,Title,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,start,Start,"Expected type: number, string"
hundredPercentStackedColumnChart,valueAxis,switchAxisPosition,Switch axis position,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,titleBold,Bold,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,titleColor,Color,Expected type: color
hundredPercentStackedColumnChart,valueAxis,titleFontFamily,Font family,Expected type: string
hundredPercentStackedColumnChart,valueAxis,titleFontSize,Color,Expected type: number
hundredPercentStackedColumnChart,valueAxis,titleItalic,Italic,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,titleText,Axis title,Expected type: string
hundredPercentStackedColumnChart,valueAxis,titleUnderline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,valueAxis,underline,Underline,Expected type: boolean
hundredPercentStackedColumnChart,xAxisReferenceLine,autoScale,Scale by width,Expected type: boolean
hundredPercentStackedColumnChart,xAxisReferenceLine,dashArray,Dash array,Expected type: string
hundredPercentStackedColumnChart,xAxisReferenceLine,dashCap,Dash cap,"none, round, square"
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelColor,Color,Expected type: color
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelDecimalPoints,Value decimal places,Expected type: number
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelDisplayUnits,Color,"0, 1, 1000, 1000000, 1000000000, 1000000000000"
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelHorizontalPosition,Horizontal position,"left, right"
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelShow,Data label,Expected type: boolean
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelText,Text,"Value, Name, ValueAndName"
hundredPercentStackedColumnChart,xAxisReferenceLine,dataLabelVerticalPosition,Vertical position,"above, under"
hundredPercentStackedColumnChart,xAxisReferenceLine,displayName,Name,Expected type: string
hundredPercentStackedColumnChart,xAxisReferenceLine,lineColor,Color,Expected type: color
hundredPercentStackedColumnChart,xAxisReferenceLine,position,Position,"back, front"
hundredPercentStackedColumnChart,xAxisReferenceLine,shadeColor,Color,Expected type: color
hundredPercentStackedColumnChart,xAxisReferenceLine,shadeRegion,Shade region,"before, after, none"
hundredPercentStackedColumnChart,xAxisReferenceLine,shadeTransparency,Shade transparency,Expected type: number
hundredPercentStackedColumnChart,xAxisReferenceLine,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,xAxisReferenceLine,style,Line style,"solid, dashed, dotted, custom"
hundredPercentStackedColumnChart,xAxisReferenceLine,transparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,xAxisReferenceLine,value,Value,"Expected type: number, string"
hundredPercentStackedColumnChart,xAxisReferenceLine,width,Width,Expected type: number
hundredPercentStackedColumnChart,y1AxisReferenceLine,autoScale,Scale by width,Expected type: boolean
hundredPercentStackedColumnChart,y1AxisReferenceLine,dashArray,Dash array,Expected type: string
hundredPercentStackedColumnChart,y1AxisReferenceLine,dashCap,Dash cap,"none, round, square"
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelColor,Color,Expected type: color
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelDecimalPoints,Value decimal places,Expected type: number
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelDisplayUnits,Color,"0, 1, 1000, 1000000, 1000000000, 1000000000000"
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelHorizontalPosition,Horizontal position,"left, right"
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelShow,Data label,Expected type: boolean
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelText,Text,"Value, Name, ValueAndName"
hundredPercentStackedColumnChart,y1AxisReferenceLine,dataLabelVerticalPosition,Vertical position,"above, under"
hundredPercentStackedColumnChart,y1AxisReferenceLine,displayName,Name,Expected type: string
hundredPercentStackedColumnChart,y1AxisReferenceLine,lineColor,Color,Expected type: color
hundredPercentStackedColumnChart,y1AxisReferenceLine,position,Position,"back, front"
hundredPercentStackedColumnChart,y1AxisReferenceLine,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,y1AxisReferenceLine,style,Line style,"solid, dashed, dotted, custom"
hundredPercentStackedColumnChart,y1AxisReferenceLine,transparency,Transparency,Expected type: number
hundredPercentStackedColumnChart,y1AxisReferenceLine,value,Value,Expected type: number
hundredPercentStackedColumnChart,y1AxisReferenceLine,width,Width,Expected type: number
hundredPercentStackedColumnChart,zoom,categoryMax,Color,Expected type: number
hundredPercentStackedColumnChart,zoom,categoryMin,Color,Expected type: number
hundredPercentStackedColumnChart,zoom,categorySize,Color,Expected type: number
hundredPercentStackedColumnChart,zoom,show,Show,Expected type: boolean
hundredPercentStackedColumnChart,zoom,showLabels,Slider labels,Expected type: boolean
hundredPercentStackedColumnChart,zoom,showOnCategoryAxis,X axis,Expected type: boolean
hundredPercentStackedColumnChart,zoom,showOnValueAxis,Y axis,Expected type: boolean
hundredPercentStackedColumnChart,zoom,showTooltip,Slider tooltips,Expected type: boolean
hundredPercentStackedColumnChart,zoom,valueMax,Color,Expected type: number
hundredPercentStackedColumnChart,zoom,valueMin,Color,Expected type: number
hundredPercentStackedColumnChart,zoom,valueSize,Color,Expected type: number
lineChart,background,color,Color,Expected type: color
lineChart,background,show,Show,Expected type: boolean
lineChart,background,transparency,Transparency,Expected type: number
lineChart,border,color,Color,Expected type: color
lineChart,border,radius,Radius,Expected type: number
lineChart,border,show,Show,Expected type: boolean
lineChart,border,width,Width,Expected type: number
lineChart,divider,color,Color,Expected type: color
lineChart,divider,ignorePadding,Ignore padding,Expected type: boolean
lineChart,divider,show,Show,Expected type: boolean
lineChart,divider,style,Line style,"solid, dashed, dotted"
lineChart,divider,width,Width,Expected type: number
lineChart,dropShadow,angle,Angle,Expected type: number
lineChart,dropShadow,color,Color,Expected type: color
lineChart,dropShadow,position,Shadow position,"Outer, Inner"
lineChart,dropShadow,preset,Preset,"BottomRight, Bottom, BottomLeft, CenterRight, Center, CenterLeft, TopRight, Top, TopLeft, Custom"
lineChart,dropShadow,shadowBlur,Blur,Expected type: number
lineChart,dropShadow,shadowDistance,Distance,Expected type: number
lineChart,dropShadow,shadowSpread,Size,Expected type: number
lineChart,dropShadow,show,Show,Expected type: boolean
lineChart,dropShadow,transparency,Transparency,Expected type: number
lineChart,general,allowBinnedLineSample,High density sampling,Expected type: boolean
lineChart,general,allowOverlappingPointsSample,High density sampling,Expected type: boolean
lineChart,general,altText,Alt text,Expected type: string
lineChart,general,height,Height,Expected type: number
lineChart,general,keepLayerOrder,Maintain layer order,Expected type: boolean
lineChart,general,width,Width,Expected type: number
lineChart,general,x,X Position,Expected type: number
lineChart,general,y,Y Position,Expected type: number
lineChart,lockAspect,show,Show,Expected type: boolean
lineChart,padding,bottom,Bottom padding,Expected type: number
lineChart,padding,left,Left padding,Expected type: number
lineChart,padding,right,Right padding,Expected type: number
lineChart,padding,top,Top padding,Expected type: number
lineChart,spacing,customizeSpacing,Customize spacing,Expected type: boolean
lineChart,spacing,spaceBelowSubTitle,Space below subtitle,Expected type: number
lineChart,spacing,spaceBelowTitle,Space below title,Expected type: number
lineChart,spacing,spaceBelowTitleArea,Space below title area,Expected type: number
lineChart,spacing,verticalSpacing,Space between label and value,Expected type: number
lineChart,stylePreset,name,Style,Expected type: string
lineChart,subTitle,alignment,Color,"left, center, right"
lineChart,subTitle,bold,Bold,Expected type: boolean
lineChart,subTitle,fontColor,Color,Expected type: color
lineChart,subTitle,fontFamily,Font family,Expected type: string
lineChart,subTitle,fontSize,Color,Expected type: number
lineChart,subTitle,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
lineChart,subTitle,italic,Italic,Expected type: boolean
lineChart,subTitle,show,Show,Expected type: boolean
lineChart,subTitle,text,Title text,Expected type: string
lineChart,subTitle,titleWrap,Word wrap,Expected type: boolean
lineChart,subTitle,underline,Underline,Expected type: boolean
lineChart,title,alignment,Color,"left, center, right"
lineChart,title,background,Color,Expected type: color
lineChart,title,bold,Bold,Expected type: boolean
lineChart,title,fontColor,Color,Expected type: color
lineChart,title,fontFamily,Font family,Expected type: string
lineChart,title,fontSize,Color,Expected type: number
lineChart,title,heading,Title heading,"Normal, Heading2, Heading3, Heading4, Heading5, Heading6"
lineChart,title,italic,Italic,Expected type: boolean
lineChart,title,show,Show,Expected type: boolean
lineChart,title,text,Title text,Expected type: string
lineChart,title,titleWrap,Word wrap,Expected type: boolean
lineChart,title,underline,Underline,Expected type: boolean
lineChart,visualHeader,background,Color,Expected type: color
lineChart,visualHeader,border,Color,Expected type: color
lineChart,visualHeader,foreground,Color,Expected type: color
lineChart,visualHeader,show,Show,Expected type: boolean
lineChart,visualHeader,showCommentButton,Comment button,Expected type: boolean
lineChart,visualHeader,showCopyVisualImageButton,Copy icon,Expected type: boolean
lineChart,visualHeader,showDrillDownExpandButton,Expand to next level icon,Expected type: boolean
lineChart,visualHeader,showDrillDownLevelButton,Show next level icon,Expected type: boolean
lineChart,visualHeader,showDrillRoleSelector,Drill on dropdown,Expected type: boolean
lineChart,visualHeader,showDrillToggleButton,Drill down icon,Expected type: boolean
lineChart,visualHeader,showDrillUpButton,Drill up icon,Expected type: boolean
lineChart,visualHeader,showFilterRestatementButton,Filter icon,Expected type: boolean
lineChart,visualHeader,showFocusModeButton,Focus mode icon,Expected type: boolean
lineChart,visualHeader,showFollowVisualButton,Follow visual button,Expected type: boolean
lineChart,visualHeader,showOptionsMenu,More options icon,Expected type: boolean
lineChart,visualHeader,showPersonalizeVisualButton,Personalize visual,Expected type: boolean
lineChart,visualHeader,showPinButton,Pin icon,Expected type: boolean
lineChart,visualHeader,showSeeDataLayoutToggleButton,See data layout icon,Expected type: boolean
lineChart,visualHeader,showSetAlertButton,Set alert button,Expected type: boolean
lineChart,visualHeader,showSmartNarrativeButton,Smart narrative,Expected type: boolean
lineChart,visualHeader,showTooltipButton,Visual header tooltip icon,Expected type: boolean
lineChart,visualHeader,showVisualErrorButton,Visual error icon,Expected type: boolean
lineChart,visualHeader,showVisualInformationButton,Visual information icon,Expected type: boolean
lineChart,visualHeader,showVisualWarningButton,Visual warning icon,Expected type: boolean
lineChart,visualHeader,transparency,Transparency,Expected type: number
lineChart,visualHeaderTooltip,background,Color,Expected type: color
lineChart,visualHeaderTooltip,bold,Bold,Expected type: boolean
lineChart,visualHeaderTooltip,fontFamily,Font family,Expected type: string
lineChart,visualHeaderTooltip,fontSize,Color,Expected type: number
lineChart,visualHeaderTooltip,italic,Italic,Expected type: boolean
lineChart,visualHeaderTooltip,section,Page,Expected type: string
lineChart,visualHeaderTooltip,text,Tooltip text,Expected type: string
lineChart,visualHeaderTooltip,themedBackground,Color,Expected type: color
lineChart,visualHeaderTooltip,themedTitleFontColor,Color,Expected type: color
lineChart,visualHeaderTooltip,titleFontColor,Color,Expected type: color
lineChart,visualHeaderTooltip,transparency,Transparency,Expected type: number
lineChart,visualHeaderTooltip,type,Type,"Default, Canvas"
lineChart,visualHeaderTooltip,underline,Underline,Expected type: boolean
lineChart,visualLink,bookmark,Bookmark,Expected type: string
lineChart,visualLink,dataFunction,Color,Expected type: object
lineChart,visualLink,dataFunction.byReference,Color,Expected type: object
lineChart,visualLink,dataFunction.byReference.itemId,Color,Expected type: string
lineChart,visualLink,dataFunction.byReference.workspaceId,Color,Expected type: string
lineChart,visualLink,dataFunction.byReference.folderId,Color,Expected type: string
lineChart,visualLink,disabledTooltip,Disabled tooltip,Expected type: string
lineChart,visualLink,drillthroughSection,Destination,Expected type: string
lineChart,visualLink,enabledTooltip,Enabled tooltip,Expected type: string
lineChart,visualLink,navigationSection,Destination,Expected type: string
lineChart,visualLink,show,Show,Expected type: boolean
lineChart,visualLink,showDefaultTooltip,Show tooltips,Expected type: boolean
lineChart,visualLink,suppressDefaultTooltip,No tooltips,Expected type: boolean
lineChart,visualLink,tooltip,Tooltip,Expected type: string
lineChart,visualLink,tooltipPlaceholderText,Placeholder for tooltip,Expected type: string
lineChart,visualLink,type,Type,"Back, Bookmark, Drillthrough, PageNavigation, Qna, WebUrl, ApplyAllSlicers, ClearAllSlicers, DataFunction"
lineChart,visualLink,webUrl,Web URL,Expected type: string
lineChart,visualTooltip,actionFontColor,Color,Expected type: color
lineChart,visualTooltip,background,Color,Expected type: color
lineChart,visualTooltip,bold,Bold,Expected type: boolean
lineChart,visualTooltip,fontFamily,Font family,Expected type: string
lineChart,visualTooltip,fontSize,Color,Expected type: number
lineChart,visualTooltip,italic,Italic,Expected type: boolean
lineChart,visualTooltip,section,Page,Expected type: string
lineChart,visualTooltip,show,Show,Expected type: boolean
lineChart,visualTooltip,themedBackground,Color,Expected type: color
lineChart,visualTooltip,themedTitleFontColor,Color,Expected type: color
lineChart,visualTooltip,themedValueFontColor,Color,Expected type: color
lineChart,visualTooltip,titleFontColor,Color,Expected type: color
lineChart,visualTooltip,transparency,Transparency,Expected type: number
lineChart,visualTooltip,type,Type,"Default, Canvas"
lineChart,visualTooltip,underline,Underline,Expected type: boolean
lineChart,visualTooltip,valueFontColor,Color,Expected type: color
lineChart,annotationTemplate,callout,Color,Expected type: object
lineChart,anomalyDetection,BatchEnd,Color,Expected type: string
lineChart,anomalyDetection,BatchStart,Color,Expected type: string
lineChart,anomalyDetection,CategoryValue,Color,Expected type: string
lineChart,anomalyDetection,ExpectedHigh,Color,Expected type: number
lineChart,anomalyDetection,ExpectedLow,Color,Expected type: number
lineChart,anomalyDetection,ExpectedValue,Color,Expected type: number
lineChart,anomalyDetection,Value,Color,Expected type: number
lineChart,anomalyDetection,confidenceBandColor,Color,Expected type: color
lineChart,anomalyDetection,confidenceBandShow,Show,Expected type: boolean
lineChart,anomalyDetection,confidenceBandStyle,Style,"fill, line, none"
lineChart,anomalyDetection,displayName,Name,Expected type: string
lineChart,anomalyDetection,isAnomalyHighlighted,Color,Expected type: boolean
lineChart,anomalyDetection,markerBorderColor,Color,Expected type: color
lineChart,anomalyDetection,markerBorderColorMatchFill,Match line color,Expected type: boolean
lineChart,anomalyDetection,markerBorderShow,Show,Expected type: boolean
lineChart,anomalyDetection,markerBorderTransparency,Transparency,Expected type: number
lineChart,anomalyDetection,markerBorderWidth,Width,Expected type: number
lineChart,anomalyDetection,markerColor,Color,Expected type: color
lineChart,anomalyDetection,markerRotation,Rotation,Expected type: number
lineChart,anomalyDetection,markerShape,Type,"circle, square, diamond, triangle, droplet"
lineChart,anomalyDetection,markerShapeSize,Size,Expected type: number
lineChart,anomalyDetection,markerShow,Show,Expected type: boolean
lineChart,anomalyDetection,markerTransparency,Transparency,Expected type: number
lineChart,anomalyDetection,show,Show,Expected type: boolean
lineChart,anomalyDetection,transparency,Transparency,Expected type: number
lineChart,categoryAxis,axisStyle,Style,"showTitleOnly, showUnitOnly, showBoth"
lineChart,categoryAxis,axisType,Type,"Scalar, Categorical"
lineChart,categoryAxis,bold,Bold,Expected type: boolean
lineChart,categoryAxis,concatenateLabels,Concatenate labels,Expected type: boolean
lineChart,categoryAxis,end,End,"Expected type: number, string"
lineChart,categoryAxis,fontFamily,Font family,Expected type: string
lineChart,categoryAxis,fontSize,Color,Expected type: number
lineChart,categoryAxis,gridlineAutoScale,Scale by width,Expected type: boolean
lineChart,categoryAxis,gridlineColor,Color,Expected type: color
lineChart,categoryAxis,gridlineDashArray,Dash array,Expected type: string
lineChart,categoryAxis,gridlineDashCap,Dash cap,"none, round, square"
lineChart,categoryAxis,gridlineShow,Show,Expected type: boolean
lineChart,categoryAxis,gridlineStyle,Line style,"solid, dashed, dotted, custom"
lineChart,categoryAxis,gridlineThickness,Width,Expected type: number
lineChart,categoryAxis,gridlineTransparency,Transparency,Expected type: number
lineChart,categoryAxis,invertAxis,Invert axis,Expected type: boolean
lineChart,categoryAxis,italic,Italic,Expected type: boolean
lineChart,categoryAxis,labelColor,Color,Expected type: color
lineChart,categoryAxis,labelDisplayUnits,Color,"0, 1, 1000, 1000000, 1000000000, 1000000000000"
lineChart,categoryAxis,labelPrecision,Value decimal places,Expected type: integer
lineChart,categoryAxis,logAxisScale,Logarithmic scale,Expected type: boolean
lineChart,categoryAxis,maxMarginFactor,Maximum size,Expected type: integer
lineChart,categoryAxis,preferredCategoryWidth,Minimum category width,Expected type: number
lineChart,categoryAxis,show,Show,Expected type: boolean
lineChart,categoryAxis,showAxisTitle,Title,Expected type: boolean
lineChart,categoryAxis,start,Start,"Expected type: number, string"
lineChart,categoryAxis,titleBold,Bold,Expected type: boolean
lineChart,categoryAxis,titleColor,Color,Expected type: color
lineChart,categoryAxis,titleFontFamily,Font family,Expected type: string
lineChart,categoryAxis,titleFontSize,Color,Expected type: number
lineChart,categoryAxis,titleItalic,Italic,Expected type: boolean
lineChart,categoryAxis,titleText,Axis title,Expected type: string
lineChart,categoryAxis,titleUnderline,Underline,Expected type: boolean
lineChart,categoryAxis,underline,Underline,Expected type: boolean
lineChart,dataPoint,defaultColor,Color,Expected type: color
lineChart,dataPoint,fill,Color,Expected type: color
lineChart,dataPoint,showAllDataPoints,Show all,Expected type: boolean
lineChart,dataPoint,transparency,Area transparency,Expected type: number
lineChart,error,barBorderColor,Color,Expected type: color
lineChart,error,barBorderSize,Border size,Expected type: integer
lineChart,error,barColor,Color,Expected type: color
lineChart,error,barMatchSeriesColor,Match series color,Expected type: boolean
lineChart,error,barShow,Show,Expected type: boolean
lineChart,error,barWidth,Width,Expected type: number
lineChart,error,enabled,Enabled,Expected type: boolean
lineChart,error,labelBackground,Show background,Expected type: boolean
lineChart,error,labelBackgroundColor,Color,Expected type: color
lineChart,error,labelBackgroundTransparency,Transparency,Expected type: integer
lineChart,error,labelBold,Bold,Expected type: boolean
